DraftYear,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,PasAtt,PasYds,PasTD,Int,RusAtt,RusYds,RusTD,Rec,RecYds,RecTD,Solo,DefInt,Sk,College/Univ
2024,4,125,TAM,Bucky Irving,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Oregon
2023,3,85,LAC,Daiyan Henley,LB,23,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,9,,,Washington St.
2023,3,86,BAL,Trenton Simpson,LB,22,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,10,,1,Clemson
2023,3,87,SFO,Ji'Ayir Brown,S,23,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,22,2,,Penn St.
2016,3,90,SEA,C.J. Prosise,RB,22,2020,0,0,0,5,5,35,0,0,0,0,0,75,283,2,41,411,1,,,,Notre Dame
2023,3,89,LAR,Kobie Turner,DT,24,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,29,,9,Wake Forest
2023,3,90,DAL,DeMarvion Overshown,LB,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas
2023,3,91,BUF,Dorian Williams,LB,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,25,,,Tulane
2023,3,92,KAN,Wanya Morris,OL,22,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
2017,6,201,MIN,Bucky Hodges,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Virginia Tech
2020,2,49,PIT,Chase Claypool,WR,22,2023,0,0,1,19,17,58,1,1,1,1,0,33,171,2,175,2261,13,7,,,Notre Dame
2023,3,95,CIN,Jordan Battle,DB,22,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,43,1,2,Alabama
2023,3,96,DET,Brodric Martin,DT,24,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Western Kentucky
2023,3,97,WAS,Ricky Stromberg,OL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas
2023,3,98,CLE,Siaki Ika,DL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor
2023,3,99,SFO,Jake Moody,K,23,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
2015,3,76,KAN,Chris Conley,WR,22,2023,0,0,3,22,11,117,0,0,0,0,0,1,3,0,220,2922,15,4,,,Georgia
2014,3,65,HOU,C.J. Fiedorowicz,TE,22,2017,0,0,2,6,6,51,0,0,0,0,0,0,0,0,89,881,6,,,,Iowa
2023,3,102,MIN,Mekhi Blackmon,CB,24,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,34,1,,USC
2023,4,103,NOR,Nick Saldiveri,OL,23,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Old Dominion
2023,4,104,LVR,Jakorian Bennett,DB,23,2023,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,24,,,Maryland
2023,4,105,PHI,Kelee Ringo,DB,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,17,1,1,Georgia
2023,4,106,IND,Blake Freeland,OL,22,2023,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,BYU
2023,4,107,NWE,Jake Andrews,OL,23,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Troy
2023,4,108,SEA,Anthony Bradford,OL,22,2023,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,,,,LSU
2023,4,109,HOU,Dylan Horton,DL,23,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,8,,,TCU
2023,4,110,IND,Adetomiwa Adebawore,DL,22,2023,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,4,,1.5,Northwestern
2023,4,111,CLE,Dawand Jones,OL,22,2023,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
2023,4,112,NWE,Chad Ryland,K,23,2023,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland
2023,4,113,ATL,Clark Phillips,CB,21,2023,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,22,,,Utah
2023,4,114,CAR,Chandler Zavala,G,24,2023,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.
2020,2,52,LAR,Cam Akers,RB,21,2023,0,0,1,11,10,36,0,0,0,0,0,398,1581,11,38,320,1,,,,Florida St.
2023,4,116,GNB,Colby Wooden,DE,22,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,0.5,Auburn
2023,4,117,NWE,Sidy Sow,OL,25,2023,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Eastern Michigan
2023,4,118,WAS,Braeden Daniels,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah
2023,4,119,KAN,Chamarri Conner,DB,23,2023,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,31,1,,Virginia Tech
2023,4,120,NYJ,Carter Warren,OL,24,2023,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh
2023,4,121,JAX,Ventrell Miller,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida
2023,4,122,ARI,Jon Gaines,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,UCLA
2023,4,123,SEA,Cameron Young,DT,23,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,10,,,Mississippi St.
2023,4,124,BAL,Tavius Robinson,DE,24,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,1,Mississippi
2017,3,84,TAM,Chris Godwin,WR,21,2023,0,1,4,47,47,104,0,1,0,0,0,12,72,2,529,6690,34,8,,,Penn St.
2023,4,126,CLE,Isaiah McGuire,DL,22,2023,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,5,,1,Missouri
2023,4,129,DAL,Viliami Fehoko,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,San Jose St.
2023,4,130,JAX,Tyler Lacy,DE,23,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,5,,,Oklahoma St.
2016,4,107,BAL,Chris Moore,WR,23,2023,0,0,0,13,4,106,0,0,0,0,0,16,69,0,138,1710,8,15,,,Cincinnati
2023,4,132,PIT,Nick Herbig,OLB,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,19,,3,Wisconsin
2022,1,11,NOR,Chris Olave,WR,22,2023,0,0,1,18,18,31,0,0,0,0,0,0,0,0,159,2165,9,3,,,Ohio St.
2023,4,134,MIN,Jay Ward,S,23,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,,LSU
2015,5,147,GNB,Brett Hundley,QB,22,2019,0,0,1,5,5,18,199,337,1902,9,13,46,309,2,1,10,0,,,,UCLA
2023,5,136,JAX,Yasir Abdullah,LB,23,2023,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Louisville
2023,5,137,WAS,K.J. Henry,DE,24,2023,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,14,,1.5,Clemson
2023,5,138,IND,Darius Rush,DB,23,2023,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,2,,,South Carolina
2022,7,262,SFO,Brock Purdy,QB,22,2023,0,1,0,24,24,25,422,614,5654,44,15,61,157,3,0,0,0,,,,Iowa St.
2023,5,141,MIN,Jaquelin Roy,DT,22,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,3,,,LSU
2023,5,142,CLE,Cameron Mitchell,DB,21,2023,0,0,0,2,2,13,0,0,0,0,0,0,0,0,0,0,0,16,,1,Northwestern
2015,5,174,CAR,Cameron Artis-Payne,RB,25,2018,0,0,0,5,5,32,0,0,0,0,0,118,491,5,10,86,0,2,,,Auburn
2023,5,144,NWE,Atonio Mafi,OL,22,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
2023,5,145,CAR,Jammie Robinson,DB,22,2023,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,11,,,Florida St.
2023,5,146,NOR,Jordan Howden,DB,23,2023,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,23,,1,Minnesota
2015,5,157,CIN,C.J. Uzomah,TE,22,2023,0,0,4,14,13,106,0,0,0,0,0,0,0,0,192,1881,16,14,,,Auburn
