DraftYear,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,PasAtt,PasYds,PasTD,Int,RusAtt,RusYds,RusTD,Rec,RecYds,RecTD,Solo,DefInt,Sk,College/Univ
2020,1,1,CIN,Joe Burrow,QB,23,2023,0,1,3,44,44,52,1288,1895,14083,97,37,183,605,10,0,0,0,1,,,LSU
2024,6,193,NWE,Joe Milton III,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee
2014,1,22,CLE,Johnny Manziel,QB,21,2015,0,0,0,4,4,14,147,258,1675,7,7,46,259,1,0,0,0,,,,Texas A&M
2020,1,26,GNB,Jordan Love,QB,21,2023,0,0,0,18,18,27,422,662,4765,35,14,63,273,4,0,0,0,,,,Utah St.
2018,7,251,LAC,Justin Jackson,RB,22,2022,0,0,0,12,10,59,0,0,0,0,0,248,1210,5,77,609,1,10,,,Northwestern
2018,1,4,CLE,Denzel Ward,CB,21,2023,0,3,5,36,36,79,0,0,0,0,0,0,0,0,0,0,0,223,15,0.5,Ohio St.
2018,1,5,DEN,Bradley Chubb,DE,22,2023,0,2,2,35,25,73,0,0,0,0,0,0,0,0,0,0,0,157,1,39.5,North Carolina St.
2018,1,6,IND,Quenton Nelson,G,22,2023,3,6,5,62,62,95,0,0,0,0,0,1,0,0,0,0,0,1,,,Notre Dame
2018,1,8,CHI,Roquan Smith,ILB,21,2023,2,2,5,68,38,94,0,0,0,0,0,0,0,0,0,0,0,535,9,20,Georgia
2018,1,9,SFO,Mike McGlinchey,T,23,2023,0,0,4,37,31,85,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2018,1,11,MIA,Minkah Fitzpatrick,S,21,2023,3,4,4,52,4,89,0,0,0,0,0,0,0,0,0,0,0,338,19,,Alabama
2018,1,12,TAM,Vita Vea,DT,23,2023,0,1,3,36,36,79,0,0,0,0,0,0,0,0,1,1,1,111,,23.5,Washington
2018,1,13,WAS,Daron Payne,DT,21,2023,0,1,5,44,44,98,0,0,0,0,0,0,0,0,0,0,0,193,1,30,Alabama
2018,1,14,NOR,Marcus Davenport,DE,22,2023,0,0,2,19,18,67,0,0,0,0,0,0,0,0,0,0,0,81,,23.5,Texas-San Antonio
2018,1,15,OAK,Kolton Miller,T,22,2023,0,0,5,37,37,92,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
2018,1,16,BUF,Tremaine Edmunds,ILB,20,2023,0,2,5,51,45,89,0,0,0,0,0,0,0,0,0,0,0,428,9,6.5,Virginia Tech
2018,1,17,LAC,Derwin James,S,22,2023,1,3,3,29,29,66,0,0,0,0,0,0,0,0,0,0,0,323,8,11.5,Florida St.
2018,1,18,GNB,Jaire Alexander,CB,21,2023,0,2,4,32,32,71,0,0,0,0,0,0,0,0,0,0,0,226,10,1.5,Louisville
2018,1,19,DAL,Leighton Vander Esch,OLB,22,2023,0,1,5,35,35,71,0,0,0,0,0,0,0,0,0,0,0,296,3,3.5,Boise St.
2018,1,20,DET,Frank Ragnow,C,22,2023,0,3,4,41,41,80,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas
2018,1,21,CIN,Billy Price,C,23,2022,0,0,3,18,9,69,0,0,0,0,0,0,0,0,0,0,0,2,,,Ohio St.
2018,1,22,TEN,Rashaan Evans,ILB,22,2023,0,0,4,32,25,85,0,0,0,0,0,0,0,0,0,0,0,286,2,5,Alabama
2018,1,23,NWE,Isaiah Wynn,T,22,2023,0,0,3,22,19,50,0,0,0,0,0,0,0,0,0,0,0,2,,,Georgia
2014,3,86,PHI,Josh Huff,WR,22,2016,0,0,0,6,6,37,0,1,0,0,0,5,22,0,51,523,4,4,,,Oregon
2015,5,160,PIT,Jesse James,TE,21,2022,0,0,4,12,10,104,0,0,0,0,0,0,0,0,157,1522,12,,,,Penn St.
2017,4,128,CIN,Josh Malone,WR,21,2020,0,0,1,1,1,26,0,0,0,0,0,3,14,0,11,91,1,,,,Tennessee
2014,4,117,CHI,Ka'Deem Carey,RB,21,2016,0,0,0,3,3,37,0,0,0,0,0,111,443,2,13,131,1,1,,,Arizona
2018,1,28,PIT,Terrell Edmunds,S,21,2023,0,0,5,27,25,95,0,0,0,0,0,0,0,0,0,0,0,310,6,7.5,Virginia Tech
2018,1,29,JAX,Taven Bryan,DT,22,2023,0,0,3,19,10,96,0,0,0,0,0,0,0,0,0,0,0,74,,10.5,Florida
2018,1,30,MIN,Mike Hughes,CB,21,2023,0,0,0,11,4,72,0,0,0,0,0,0,0,0,0,0,0,156,3,,Central Florida
2018,4,131,MIA,Kalen Ballage,RB,22,2021,0,0,1,6,3,52,0,0,0,0,0,213,665,7,54,293,0,4,,,Arizona St.
2018,2,33,CLE,Austin Corbett,C,23,2023,0,0,4,25,1,76,0,0,0,0,0,0,0,0,0,0,0,3,,,Nevada
2018,2,34,NYG,Will Hernandez,G,23,2023,0,0,4,34,22,92,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso
2017,3,86,KAN,Kareem Hunt,RB,22,2023,0,1,2,45,25,91,0,0,0,0,0,1030,4436,40,226,1890,17,,,,Toledo
2018,2,36,IND,Shaquille Leonard,LB,23,2023,3,3,4,60,59,75,0,0,0,0,0,0,0,0,0,0,0,397,12,16,South Carolina St.
2018,2,37,IND,Braden Smith,G,22,2023,0,0,5,36,36,82,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn
2015,5,155,BUF,Karlos Williams,RB,22,2015,0,0,0,4,4,11,0,0,0,0,0,93,517,7,11,96,2,,,,Florida St.
2018,2,39,CHI,James Daniels,C,20,2023,0,0,5,28,17,86,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa
2021,3,77,LAC,Josh Palmer,WR,21,2023,0,0,1,13,13,43,0,0,0,0,0,3,16,0,143,1703,9,2,,,Tennessee
2018,2,41,TEN,Harold Landry,OLB,22,2023,0,1,3,33,33,81,0,0,0,0,0,0,0,0,0,0,0,209,2,41.5,Boston Col.
2021,4,124,WAS,John Bates,TE,23,2023,0,0,0,4,4,50,0,0,0,0,0,0,0,0,53,508,2,4,,,Boise St.
2020,3,76,TAM,Ke'Shawn Vaughn,RB,23,2023,0,0,0,2,2,43,0,0,0,0,0,103,384,2,14,81,1,,,,Illinois
2017,4,117,LAR,Josh Reynolds,WR,22,2023,0,0,2,24,10,107,0,0,0,0,0,8,36,0,220,2933,19,7,,,Texas A&M
2018,2,45,GNB,Josh Jackson,CB,22,2022,0,0,0,8,7,49,0,0,0,0,0,0,0,0,0,0,0,77,,,Iowa
2018,2,46,KAN,Breeland Speaks,DE,22,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,15,,1.5,Mississippi
2017,2,62,PIT,JuJu Smith-Schuster,WR,20,2023,0,1,4,40,30,90,0,0,0,0,0,4,22,1,430,5048,30,2,,,USC
2018,2,48,LAC,Uchenna Nwosu,OLB,21,2023,0,0,2,23,13,85,0,0,0,0,0,0,0,0,0,0,0,139,1,26.5,USC
2022,6,213,ATL,John FitzPatrick,TE,22,2023,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,12,0,3,,,Georgia
2018,2,50,DAL,Connor Williams,T,21,2023,0,0,5,32,20,83,0,0,0,0,0,0,0,0,0,0,0,,,,Texas
2015,4,107,ATL,Justin Hardy,WR,23,2019,0,0,0,8,8,73,0,0,0,0,0,0,0,0,95,946,9,5,,,East Carolina
2018,2,52,IND,Kemoko Turay,OLB,23,2022,0,0,0,5,5,41,0,0,0,0,0,0,0,0,0,0,0,23,,12,Rutgers
2018,2,53,TAM,M.J. Stewart,CB,22,2023,0,0,0,6,3,75,0,0,0,0,0,1,3,0,0,0,0,154,2,1,North Carolina
2018,2,54,CIN,Jessie Bates III,S,21,2023,0,1,5,42,30,96,0,0,0,0,0,0,0,0,0,0,0,416,20,,Wake Forest
2018,2,55,CAR,Donte Jackson,CB,22,2023,0,0,5,25,25,80,0,0,0,0,0,0,0,0,0,0,0,248,14,1,LSU
2018,2,56,NWE,Duke Dawson,CB,22,2020,0,0,0,3,,26,0,0,0,0,0,0,0,0,0,0,0,17,,,Florida
2018,2,57,OAK,P.J. Hall,DT,23,2020,0,0,2,11,8,40,0,0,0,0,0,0,0,0,0,0,0,52,,2.5,Sam Houston St.
2018,2,58,ATL,Isaiah Oliver,CB,21,2023,0,0,2,15,12,79,0,0,0,0,0,0,0,0,0,0,0,201,3,2,Colorado
2022,6,201,ARI,Keaontay Ingram,RB,22,2023,0,0,0,2,2,20,0,0,0,0,0,62,134,1,8,47,0,1,,,USC
2020,1,22,MIN,Justin Jefferson,WR,21,2023,1,3,3,46,46,60,4,7,69,0,0,12,28,1,392,5899,30,2,,,LSU
2023,5,150,BUF,Justin Shorter,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida
2018,2,62,MIN,Brian O'Neill,T,22,2023,0,1,5,42,42,93,0,0,0,0,0,0,0,0,0,0,0,1,,,Pittsburgh
2018,2,63,TAM,Carlton Davis,CB,21,2023,0,0,4,26,26,76,0,0,0,0,0,0,0,0,0,0,0,268,9,,Auburn
2018,2,64,IND,Tyquan Lewis,DE,23,2023,0,0,0,11,11,65,0,0,0,0,0,0,0,0,0,0,0,67,1,13.5,Ohio St.
2018,3,65,OAK,Brandon Parker,T,22,2023,0,0,2,15,15,59,0,0,0,0,0,0,0,0,0,0,0,2,,,North Carolina A&T
2018,3,66,NYG,Lorenzo Carter,DE,22,2023,0,0,4,27,17,83,0,0,0,0,0,0,0,0,0,0,0,147,2,21.5,Georgia
2018,3,67,CLE,Chad Thomas,DE,22,2019,0,0,0,5,5,20,0,0,0,0,0,0,0,0,0,0,0,17,,4,Miami (FL)
2018,3,68,HOU,Justin Reid,S,21,2023,0,0,5,26,15,90,0,0,0,0,0,0,0,0,0,0,0,363,8,6,Stanford
2018,3,69,NYG,B.J. Hill,DT,23,2023,0,0,3,27,8,97,0,0,0,0,0,0,0,0,0,0,0,147,2,20.5,North Carolina St.
2018,3,70,SFO,Fred Warner,OLB,21,2023,3,3,5,70,70,98,0,0,0,0,0,0,0,0,0,0,0,493,8,9,BYU
2016,6,182,BAL,Keenan Reynolds,RB,22,2018,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Navy
2018,3,72,NYJ,Nathan Shepherd,DT,24,2023,0,0,0,17,8,90,0,0,0,0,0,0,0,0,0,0,0,79,,9.5,Fort Hays St.
2018,3,73,MIA,Jerome Baker,OLB,21,2023,0,0,5,35,35,94,0,0,0,0,0,0,0,0,0,0,0,382,5,22.5,Ohio St.
2018,3,74,WAS,Geron Christian,T,21,2023,0,0,0,12,5,58,0,0,0,0,0,0,0,0,0,0,0,1,,,Louisville
2018,3,75,KAN,Derrick Nnadi,DT,22,2023,0,0,4,33,33,98,0,0,0,0,0,0,0,0,0,0,0,106,1,5,Florida St.
2018,3,77,CIN,Sam Hubbard,DE,23,2023,0,0,4,35,35,90,0,0,0,0,0,0,0,0,0,0,0,211,,36.5,Ohio St.
2018,3,78,CIN,Malik Jefferson,OLB,21,2023,0,0,0,3,1,38,0,0,0,0,0,0,0,0,0,0,0,11,,,Texas
2018,3,79,SEA,Rasheem Green,DT,21,2023,0,0,2,17,13,86,0,0,0,0,0,0,0,0,0,0,0,91,,19,USC
2018,3,80,HOU,Martinas Rankin,T,23,2020,0,0,0,7,3,23,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.
2018,5,144,TAM,Justin Watson,WR,22,2023,0,0,0,9,2,73,0,0,0,0,0,0,0,0,65,1033,7,17,,1,Pennsylvania
2018,3,82,DET,Tracy Walker,S,23,2023,0,0,2,13,13,79,0,0,0,0,0,0,0,0,0,0,0,291,3,4,Louisiana
2018,3,83,BAL,Orlando Brown Jr.,T,22,2023,0,4,5,59,28,98,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
2018,3,84,LAC,Justin Jones,DT,22,2023,0,0,4,29,14,85,0,0,0,0,0,0,0,0,0,0,0,120,,12,North Carolina St.
2018,3,85,CAR,Rashaan Gaulden,CB,23,2020,0,0,0,1,1,27,0,0,0,0,0,0,0,0,0,0,0,14,,,Tennessee
2017,3,100,TEN,Jonnu Smith,TE,22,2023,0,0,5,20,11,107,0,1,0,0,0,17,127,1,219,2423,20,,,,Florida International
2018,3,87,OAK,Arden Key,DE,22,2023,0,0,1,15,5,88,0,0,0,0,0,0,0,0,0,0,0,78,,20,LSU
2018,3,88,GNB,Oren Burks,ILB,23,2023,0,0,0,11,6,91,0,0,0,0,0,0,0,0,0,0,0,107,1,2,Vanderbilt
2018,3,89,LAR,Joseph Noteboom,T,23,2023,0,0,0,16,16,67,0,0,0,0,0,0,0,0,0,0,0,,,,TCU
2018,3,90,ATL,Deadrin Senat,DT,24,2023,0,0,0,4,3,37,0,0,0,0,0,0,0,0,0,0,0,28,,1,South Florida
2018,3,92,PIT,Chukwuma Okorafor,T,21,2023,0,0,3,25,25,77,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan
2018,3,93,JAX,Ronnie Harrison,S,21,2023,0,0,3,19,10,74,0,0,0,0,0,0,0,0,0,0,0,159,7,6.5,Alabama
2018,3,94,TAM,Alex Cappa,T,23,2023,0,0,4,36,22,85,0,0,0,0,0,0,0,0,0,0,0,,,,Humboldt St.
2018,3,95,SFO,Tarvarius Moore,S,22,2022,0,0,1,8,8,61,0,0,0,0,0,0,0,0,0,0,0,80,,,Southern Miss
2018,3,96,BUF,Harrison Phillips,DT,22,2023,0,0,1,23,9,79,0,0,0,0,0,0,0,0,0,0,0,132,,6,Stanford
2018,3,97,ARI,Mason Cole,C,22,2023,0,0,3,25,11,94,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan
2018,3,98,HOU,Jordan Akins,TE,26,2023,0,0,1,15,14,90,0,0,0,0,0,2,7,0,166,1887,8,1,,,Central Florida
2018,3,99,DEN,Isaac Yiadom,CB,22,2023,0,0,2,13,5,87,0,0,0,0,0,0,0,0,0,0,0,113,2,0.5,Boston Col.
2018,3,100,KAN,Dorian O'Daniel,OLB,24,2021,0,0,0,5,5,58,0,0,0,0,0,0,0,0,0,0,0,37,,1,Clemson
2017,5,150,NYJ,Jordan Leggett,TE,22,2018,0,0,0,1,1,15,0,0,0,0,0,0,0,0,14,114,1,,,,Clemson
2018,4,102,MIN,Jalyn Holmes,DE,22,2023,0,0,0,6,5,39,0,0,0,0,0,0,0,0,0,0,0,32,,2,Ohio St.
2020,7,220,LAC,K.J. Hill,WR,22,2021,0,0,0,1,1,21,0,0,0,0,0,0,0,0,10,103,0,,,,Ohio St.
2020,5,176,MIN,K.J. Osborn,WR,23,2023,0,0,1,13,13,59,0,0,0,0,0,4,16,0,158,1845,15,4,,,Miami (FL)
2018,4,106,DEN,Josey Jewell,ILB,23,2023,0,0,3,28,28,78,0,0,0,0,0,0,0,0,0,0,0,263,2,9,Iowa
2018,6,211,HOU,Jordan Thomas,TE,22,2020,0,0,1,2,2,27,0,0,0,0,0,0,0,0,22,226,5,,,,Mississippi St.
2018,4,109,WAS,Troy Apke,S,23,2022,0,0,1,6,6,52,0,0,0,0,0,0,0,0,0,0,0,49,1,,Penn St.
2018,4,110,OAK,Nick Nelson,CB,21,2019,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,10,,,Wisconsin
2018,4,111,LAR,Brian Allen,C,22,2023,0,0,2,16,16,50,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.
2021,1,20,NYG,Kadarius Toney,WR,22,2023,0,0,0,7,3,32,1,4,19,0,0,21,119,1,82,760,3,,,,Florida
2018,4,114,DET,Da'Shawn Hand,DE,22,2023,0,0,1,8,7,47,0,0,0,0,0,0,0,0,0,0,0,45,,4,Alabama
2018,4,115,CHI,Joel Iyiegbuniwe,LB,22,2022,0,0,0,5,4,65,0,0,0,0,0,0,0,0,0,0,0,26,,,Western Kentucky
2018,4,116,DAL,Dorance Armstrong Jr.,DE,21,2023,0,0,0,15,15,93,0,0,0,0,0,0,0,0,0,0,0,101,,23.5,Kansas
2018,4,117,TAM,Jordan Whitehead,S,21,2023,0,0,5,29,18,93,0,0,0,0,0,0,0,0,0,0,0,345,11,2.5,Pittsburgh
2018,4,118,BAL,Anthony Averett,CB,23,2022,0,0,1,11,10,51,0,0,0,0,0,0,0,0,0,0,0,99,3,,Alabama
2018,4,119,LAC,Kyzir White,S,22,2023,0,0,2,24,18,75,0,0,0,0,0,0,0,0,0,0,0,296,5,5,West Virginia
2019,3,69,JAX,Josh Oliver,TE,22,2023,0,0,1,4,0,52,0,0,0,0,0,0,0,0,48,443,4,3,,,San Jose St.
2018,4,121,BUF,Taron Johnson,CB,22,2023,0,0,4,30,30,88,0,0,0,0,0,0,0,0,0,0,0,335,4,7,Weber St.
2018,4,122,BAL,Kenny Young,LB,23,2022,0,0,1,18,5,63,0,0,0,0,0,0,0,0,0,0,0,127,1,5.5,UCLA
2023,5,147,TEN,Josh Whyle,TE,23,2023,0,0,0,1,1,11,0,0,0,0,0,0,0,0,9,94,1,1,,,Cincinnati
2018,4,124,KAN,Armani Watts,S,22,2021,0,0,0,3,3,53,0,0,0,0,0,0,0,0,0,0,0,42,,2,Texas A&M
2018,4,125,PHI,Avonte Maddox,CB,22,2023,0,0,1,14,14,64,0,0,0,0,0,0,0,0,0,0,0,191,4,3,Pittsburgh
2016,6,211,SFO,Kelvin Taylor,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida
2018,4,127,NOR,Rick Leonard,T,21,2021,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.
2018,4,128,SFO,Kentavius Street,DT,22,2023,0,0,0,9,4,65,0,0,0,0,0,0,0,0,0,0,0,48,,7.5,North Carolina St.
2018,4,129,JAX,Will Richardson,T,22,2021,0,0,0,4,4,44,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.
2018,4,130,PHI,Josh Sweat,DE,21,2023,0,1,2,26,26,88,0,0,0,0,0,0,0,0,0,0,0,121,1,35,Florida St.
2023,3,71,NOR,Kendre Miller,RB,21,2023,0,0,0,2,2,8,0,0,0,0,0,41,156,1,10,117,0,,,,TCU
2021,7,255,NOR,Kawaan Baker,WR,23,2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,South Alabama
2021,4,119,MIN,Kene Nwangwu,RB,23,2023,0,0,0,3,3,37,0,0,0,0,0,27,88,0,6,30,0,4,,,Iowa St.
2018,4,135,LAR,John Franklin-Myers,DE,21,2023,0,0,2,25,2,81,0,0,0,0,0,0,0,0,0,0,0,62,1,19.5,S.F. Austin
2018,4,136,CAR,Marquis Haynes,OLB,24,2023,0,0,0,7,7,71,0,0,0,0,0,0,0,0,0,0,0,63,,14,Mississippi
2020,3,94,GNB,Josiah Deguara,TE,23,2023,0,0,0,4,4,50,0,0,0,0,0,0,0,0,47,436,2,5,,,Cincinnati
2018,5,138,GNB,Cole Madison,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington St.
2018,5,139,NYG,R.J. McIntosh,DT,22,2019,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,10,,2,Miami (FL)
2018,5,140,OAK,Maurice Hurst Jr.,DT,23,2023,0,0,1,10,9,55,0,0,0,0,0,0,0,0,0,0,0,65,2,9.5,Michigan
2018,5,141,SEA,Shaquem Griffin,OLB,23,2020,0,0,0,4,4,46,0,0,0,0,0,0,0,0,0,0,0,17,,1,Central Florida
2018,5,142,SFO,D.J. Reed,CB,21,2023,0,0,3,20,2,87,0,0,0,0,0,0,0,0,0,0,0,274,6,1,Kansas St.
2018,5,143,NWE,Ja'Whaun Bentley,ILB,22,2023,0,0,3,36,36,81,0,0,0,0,0,0,0,0,0,0,0,273,2,10,Purdue
2023,6,187,NWE,Kayshon Boutte,WR,21,2023,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,19,0,,,,LSU
2018,5,145,CHI,Bilal Nichols,DT,21,2023,0,0,4,36,22,94,0,0,0,0,0,0,0,0,0,0,0,118,1,14,Delaware
2018,5,146,SEA,Tre Flowers,S,23,2023,0,0,2,19,15,90,0,0,0,0,0,0,0,0,0,0,0,221,4,2,Oklahoma St.
2018,5,147,LAR,Micah Kiser,ILB,23,2021,0,0,0,8,6,36,0,0,0,0,0,0,0,0,0,0,0,55,,,Virginia
2018,5,148,PIT,Marcus Allen,S,22,2022,0,0,0,6,6,48,0,0,0,0,0,1,4,0,0,0,0,34,,,Penn St.
2018,5,149,SEA,Michael Dickson,P,22,2023,1,1,1,16,16,99,0,0,0,0,0,3,-9,0,0,0,0,1,,,Texas
2018,5,150,CLE,Genard Avery,LB,23,2022,0,0,2,11,4,62,0,0,0,0,0,0,0,0,0,0,0,65,,8.5,Memphis
2018,5,151,CIN,Davontae Harris,CB,23,2022,0,0,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,53,,,Illinois St.
2018,5,152,TEN,Dane Cruikshank,CB,23,2023,0,0,0,4,4,54,0,0,0,0,0,0,0,0,1,66,1,46,1,,Arizona
2018,5,153,DET,Tyrell Crosby,T,23,2020,0,0,1,11,11,38,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon
2018,5,154,BUF,Siran Neal,CB,24,2023,0,0,0,5,5,97,0,0,0,0,0,0,0,0,1,13,0,85,,1,Jacksonville St.
2018,5,155,LAC,Scott Quessenberry,C,23,2022,0,0,2,13,8,79,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
2019,6,176,SFO,Kaden Smith,TE,22,2021,0,0,1,3,,33,0,0,0,0,0,0,0,0,52,413,3,2,,,Stanford
2019,3,86,HOU,Kahale Warring,TE,22,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,35,0,,,,San Diego St.
2018,5,158,CIN,Andrew Brown,DE,22,2022,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,13,,1,Virginia
2019,6,174,ARI,KeeSean Johnson,WR,22,2021,0,0,0,4,4,18,0,0,0,0,0,1,3,0,36,360,1,,,,Fresno St.
2018,5,160,LAR,Ogbonnia Okoronkwo,DE,23,2023,0,0,0,9,3,64,0,0,0,0,0,0,0,0,0,0,0,74,,14,Oklahoma
2018,5,161,CAR,Jermaine Carter Jr.,LB,23,2022,0,0,2,15,14,72,0,0,0,0,0,0,0,0,0,0,0,96,,0.5,Maryland
2018,5,163,WAS,Tim Settle,DT,21,2023,0,0,0,9,4,95,0,0,0,0,0,0,0,0,0,0,0,54,,9,Virginia Tech
2018,5,164,NOR,Natrell Jamerson,S,22,2020,0,0,0,1,,21,0,0,0,0,0,0,0,0,0,0,0,11,,,Wisconsin
2015,6,213,GNB,Kennard Backman,TE,22,2015,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,Ala-Birmingham
2018,5,166,BUF,Wyatt Teller,G,23,2023,0,3,4,35,2,83,0,0,0,0,0,0,0,0,1,-5,0,1,,,Virginia Tech
2018,5,167,MIN,Daniel Carlson,K,23,2023,1,0,1,19,-1,95,0,0,0,0,0,0,0,0,0,0,0,3,,,Auburn
2018,5,168,SEA,Jamarco Jones,T,22,2021,0,0,0,7,7,36,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
2016,4,134,BAL,Kenneth Dixon,RB,22,2018,0,0,0,5,5,18,0,0,0,0,0,148,715,4,36,213,1,,,,Louisiana Tech
2018,5,170,CIN,Darius Phillips,CB,23,2022,0,0,1,7,7,56,0,0,0,0,0,0,0,0,0,0,0,60,5,,Western Michigan
2018,5,172,GNB,JK Scott,P,22,2023,0,0,1,9,6,83,0,1,0,0,0,0,0,0,0,0,0,2,,,Alabama
2018,5,173,OAK,Johnny Townsend,P,23,2021,0,0,0,2,2,21,0,0,0,0,0,1,42,0,0,0,0,1,,,Florida
2018,4,103,HOU,Keke Coutee,WR,21,2022,0,0,0,7,7,33,0,0,0,0,0,5,14,1,85,966,4,,,,Texas Tech
2014,1,28,CAR,Kelvin Benjamin,WR,23,2018,0,0,4,22,18,61,0,0,0,0,0,0,0,0,209,3021,20,,,,Florida St.
2021,5,150,PHI,Kenneth Gainwell,RB,22,2023,0,0,0,13,13,49,1,1,17,0,0,205,895,11,86,605,1,1,,,Memphis
2018,6,177,HOU,Duke Ejiofor,DE,23,2018,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,6,,1,Wake Forest
2018,6,178,NWE,Christian Sam,ILB,22,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.
2018,6,179,NYJ,Parry Nickerson,CB,23,2023,0,0,0,2,1,30,0,0,0,0,0,0,0,0,0,0,0,28,,,Tulane
2018,6,180,NYJ,Folorunso Fatukasi,DT,23,2023,0,0,2,22,11,75,0,0,0,0,0,0,0,0,0,0,0,90,,4.5,Connecticut
2018,6,181,CHI,Kylie Fitts,DE,23,2021,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,9,,,Utah
2018,6,182,ARI,Christian Campbell,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.
2018,6,183,DEN,Sam Jones,G,22,2018,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.
2018,6,184,SFO,Marcell Harris,S,24,2022,0,0,0,14,13,63,0,0,0,0,0,0,0,0,0,0,0,105,1,1,Florida
2019,6,206,WAS,Kelvin Harmon,WR,22,2019,0,0,1,3,3,16,1,1,11,0,0,0,0,0,30,365,0,2,,,North Carolina St.
2018,6,186,SEA,Jacob Martin,LB,22,2023,0,0,1,12,2,91,0,0,0,0,0,0,0,0,0,0,0,50,,18,Temple
2015,5,162,TAM,Kenny Bell,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska
2018,6,188,CLE,Simeon Thomas,CB,24,2019,0,0,0,1,,12,0,0,0,0,0,0,0,0,0,0,0,5,,,Louisiana
2018,6,189,NOR,Kamrin Moore,CB,21,2018,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.
2018,6,190,BAL,DeShon Elliott,S,21,2023,0,0,2,18,10,57,0,0,0,0,0,0,0,0,0,0,0,202,3,3.5,Texas
2017,3,96,DET,Kenny Golladay,WR,23,2022,0,1,4,27,23,73,0,0,0,0,0,2,17,0,226,3670,22,,,,Northern Illinois
2018,6,192,LAR,Jamil Demby,T,22,2019,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,Maine
2018,6,193,DAL,Chris Covington,LB,22,2019,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,,,Indiana
2016,7,243,SEA,Kenny Lawler,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,California
2018,6,195,LAR,Sebastian Joseph-Day,DT,23,2023,0,0,2,30,17,71,0,0,0,0,0,0,0,0,0,0,0,129,1,11,Rutgers
2024,2,33,BUF,Keon Coleman,WR,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.
2018,6,197,WAS,Shaun Dion Hamilton,LB,22,2020,0,0,0,8,8,46,0,0,0,0,0,0,0,0,0,0,0,70,1,2.5,Alabama
2018,6,198,KAN,Kahlil McKenzie,DT,21,2021,0,0,0,1,,12,0,0,0,0,0,0,0,0,0,0,0,5,,,Tennessee
2024,5,171,NYJ,Jordan Travis,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.
2018,6,200,ATL,Foyesade Oluokun,S,23,2023,0,0,3,34,17,98,0,0,0,0,0,0,0,0,0,0,0,511,6,9.5,Yale
2022,2,41,SEA,Kenneth Walker III,RB,21,2023,0,0,1,16,16,30,0,0,0,0,0,447,1955,17,56,424,1,1,,,Michigan St.
2018,6,202,TAM,Jack Cichy,ILB,23,2020,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,,,Wisconsin
