Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2023,199,Marcus Rosemy-Jacksaint,Georgia,Y,SEC,FBS,Sr.,WR,13,34,535,4
2018,119,Marcus Simms,West Virginia,Y,Big 12,FBS,Jr.,WR,11,46,699,2
2017,126,Marcus Simms,West Virginia,Y,Big 12,FBS,So.,WR,12,35,663,5
2013,211,Marcus Sullivan,UNLV,N,Mountain West,FBS,Jr.,WR,9,45,505,5
2018,110,Marcus Taylor,Norfolk St.,N,MEAC,FCS,Sr.,WR,11,51,585,3
2017,85,Marcus Taylor,Norfolk St.,N,MEAC,FCS,Jr.,WR,11,60,629,5
2014,45,Mario Alford,West Virginia,Y,Big 12,FBS,Sr.,WR,13,65,945,11
2013,188,Mario Alford,West Virginia,Y,Big 12,FBS,---,WR,12,27,552,2
2014,138,Mario Hull,Rice,N,CUSA,FBS,Sr.,WR,13,32,621,8
2022,143,Mario Williams,Southern California,Y,Pac-12,FBS,So.,WR,12,40,631,5
2013,263,Marion Grice,Arizona St.,Y,Pac-12,FBS,Sr.,RB,11,50,438,6
2017,37,Mark Andrews,Oklahoma,Y,Big 12,FBS,Jr.,TE,14,62,958,8
2017,51,Mark Chapman,Central Mich.,N,MAC,FBS,Sr.,WR,13,59,875,5
2016,177,Mark Chapman,Central Mich.,N,MAC,FBS,Jr.,WR,13,44,592,4
2020,179,Mark Pope,Miami (FL),Y,ACC,FBS,Jr.,WR,11,33,403,2
2014,11,Mark Roberts,Lamar University,N,Southland,FCS,Sr.,WR,12,46,1157,13
2013,112,Mark Roberts,Lamar University,N,Southland,FCS,---,,12,33,638,8
2013,19,Mark Ross,Lafayette,N,Patriot,FCS,Sr.,WR,12,74,1078,8
2018,145,Markcus Hardy,Prairie View,N,SWAC,FCS,Sr.,WR,10,35,524,7
2014,186,Markeith Ambles,Houston,N,AAC,FBS,Sr.,WR,13,32,539,4
2014,196,Markese Triplett,Southern Miss.,N,CUSA,FBS,Sr.,WR,12,40,529,1
2013,183,Markese Triplett,Southern Miss.,N,CUSA,FBS,Jr.,WR,11,33,558,4
2019,180,Markis McCray,ULM,N,Sun Belt,FBS,Sr.,WR,12,48,583,6
2013,276,Markis Merrill,Jacksonville St.,N,OVC,FCS,So.,WR,7,24,363,2
2020,9,Marlon Williams,UCF,N,AAC,FBS,Sr.,WR,8,71,1039,10
2019,113,Marlon Williams,UCF,N,AAC,FBS,Jr.,WR,12,51,717,6
2023,120,MarQeese Dietz,UAlbany,N,CAA,FCS,So.,WR,15,45,515,3
2013,90,Marqise Lee,Southern California,Y,Pac-12,FBS,Jr.,WR,11,57,791,4
2014,121,Marquese Martin-Hayes,Butler,N,Pioneer,FCS,Jr.,WR,10,49,604,2
2019,152,Marquez Callaway,Tennessee,Y,SEC,FBS,Sr.,WR,13,30,635,6
