Season,Rank,Player,School,Power5,Conference,Division,Cl,Pos,G,Rec,Rec Yds,Rec TD
2021,16,Dai'Jean Dixon,Nicholls,N,Southland,FCS,Sr.,WR,10,71,1002,8
2020,26,Dai'Jean Dixon,Nicholls,N,Southland,FCS,Sr.,WR,7,35,514,7
2018,52,Dai'Jean Dixon,Nicholls,N,Southland,FCS,So.,WR,13,53,753,7
2017,148,Dai'Jean Dixon,Nicholls,N,Southland,FCS,Fr.,WR,12,23,489,5
2018,63,Dakarai Allen,South Dakota,N,MVFC,FCS,Jr.,WR,10,48,703,5
2016,58,Dakiel Shorts,West Virginia,Y,Big 12,FBS,Sr.,WR,13,63,894,5
2013,217,Dakiel Shorts,West Virginia,Y,Big 12,FBS,---,,12,45,495,2
2023,154,Dalen Cobb,Ga. Southern,N,Sun Belt,FBS,So.,WR,12,40,601,2
2023,157,Dalevon Campbell,Nevada,N,Mountain West,FBS,Sr.,WR,12,31,594,2
2022,70,Dallas Daniels,Jackson St.,N,SWAC,FCS,Sr.,WR,12,63,692,6
2021,135,Dallas Daniels,Western Ill.,N,MVFC,FCS,Sr.,WR,11,44,524,2
2020,68,Dallas Daniels,Western Ill.,N,MVFC,FCS,Jr.,WR,6,34,368,2
2021,108,Dallas Dixon,Central Mich.,N,MAC,FBS,Jr.,WR,13,45,701,8
2017,10,Dallas Goedert,South Dakota St.,N,MVFC,FCS,Sr.,TE,14,72,1111,7
2016,7,Dallas Goedert,South Dakota St.,N,MVFC,FCS,Jr.,TE,13,92,1293,11
2015,136,Dallas Goedert,South Dakota St.,N,MVFC,FCS,So.,TE,12,26,484,3
2023,83,Dallin Holker,Colorado St.,N,Mountain West,FBS,Jr.,TE,12,64,767,6
2022,54,Dalton Kincaid,Utah,Y,Pac-12,FBS,Sr.,TE,12,70,890,8
2019,58,Dalton Kincaid,San Diego,N,Pioneer,FCS,So.,TE,12,44,835,8
2015,138,Dalton Ponchillia,ETSU,N,FCS Independent,FCS,So.,WR,11,30,483,3
2019,183,Dalton Schoen,Kansas St.,Y,Big 12,FBS,Sr.,WR,13,37,579,4
2018,57,Damarkus Lodge,Ole Miss,Y,SEC,FBS,Sr.,WR,11,65,877,4
2017,103,Damarkus Lodge,Ole Miss,Y,SEC,FBS,Jr.,WR,12,41,698,7
2014,174,Damarr Aultman,Maine,N,CAA,FCS,Sr.,WR,11,48,498,2
2013,141,Damarr Aultman,Maine,N,CAA,FCS,Jr.,WR,13,46,550,5
2013,95,Damian Copeland,Louisville,N,AAC,FBS,Sr.,WR,13,58,780,5
2023,87,Damian Harris,Bucknell,N,Patriot,FCS,Sr.,WR,11,55,606,4
2023,150,Damien Alford,Syracuse,Y,ACC,FBS,Jr.,WR,13,33,610,3
2015,65,Damien Strange,Jacksonville,N,Pioneer,FCS,Jr.,WR,11,48,713,4
2013,166,Damien Watts,Central Ark.,N,Southland,FCS,Jr.,WR,12,27,512,5
2013,178,Damiere Byrd,South Carolina,Y,SEC,FBS,Jr.,WR,12,33,575,4
2018,35,Damion Jeanpiere,Nicholls,N,Southland,FCS,Sr.,WR,13,44,850,3
2017,51,Damion Jeanpiere,Nicholls,N,Southland,FCS,Jr.,WR,12,40,770,4
2017,108,Damion Ratley,Texas A&M,Y,SEC,FBS,Sr.,WR,12,30,694,6
2018,58,Damion Willis,Troy,N,Sun Belt,FBS,Sr.,WR,11,56,876,10
2017,147,Damion Willis,Troy,N,Sun Belt,FBS,Jr.,WR,13,42,620,3
2020,183,Damon Hazelton,Missouri,Y,SEC,FBS,Sr.,WR,9,30,397,1
2018,81,Damon Hazelton,Virginia Tech,Y,ACC,FBS,So.,WR,13,51,802,8
2019,8,Damonte Coxie,Memphis,N,AAC,FBS,Jr.,WR,14,76,1276,9
2018,16,Damonte Coxie,Memphis,N,AAC,FBS,So.,WR,14,72,1174,7
2016,112,Damore'Ea Stringfellow,Ole Miss,Y,SEC,FBS,Jr.,WR,12,46,716,6
2020,14,Damoriea Vick,Missouri St.,N,MVFC,FCS,Jr.,WR,10,45,596,2
2017,112,Damoun Patterson,Youngstown St.,N,MVFC,FCS,Sr.,WR,11,32,555,4
2013,176,Dan Cason,Colgate,N,Patriot,FCS,Sr.,WR,9,34,496,2
2016,134,Dan Crimmins,Eastern Ky.,N,OVC,FCS,Sr.,TE,11,34,531,3
2013,130,Dan Light,Fordham,N,Patriot,FCS,Jr.,TE,14,66,588,2
2013,318,Dan Vitale,Northwestern,Y,Big Ten,FBS,So.,TE,12,34,382,3
2013,249,Dane Domonkos,Saint Francis (PA),N,NEC,FCS,Sr.,WR,11,25,392,0
2016,97,Dane Forlines,VMI,N,SoCon,FCS,Sr.,WR,11,55,604,1
2015,69,Dane Forlines,VMI,N,SoCon,FCS,Jr.,WR,11,53,690,0
2023,136,Dane Key,Kentucky,Y,SEC,FBS,So.,WR,13,42,636,6
2015,8,Daniel Braverman,Western Mich.,N,MAC,FBS,Jr.,WR,13,109,1377,13
2014,37,Daniel Braverman,Western Mich.,N,MAC,FBS,So.,WR,13,86,997,6
2014,120,Daniel Brown,James Madison,N,CAA,FCS,Sr.,WR,13,42,606,7
2013,97,Daniel Brown,James Madison,N,CAA,FCS,Jr.,WR,11,42,665,8
2022,84,Daniel George,Akron,N,MAC,FBS,Jr.,WR,12,67,793,2
2023,64,Daniel Jackson,Minnesota,Y,Big Ten,FBS,Sr.,WR,13,59,831,8
2022,191,Daniel Jackson,Minnesota,Y,Big Ten,FBS,Jr.,WR,11,37,557,5
2015,141,Daniel Kuzjak,William & Mary,N,CAA,FCS,So.,WR,12,32,479,0
2013,161,Daniel McKinney,Fla. Atlantic,N,CUSA,FBS,Sr.,WR,11,49,610,1
2023,17,Daniel Sobkowicz,Illinois St.,N,MVFC,FCS,Jr.,WR,11,68,933,10
2013,98,Daniel Spencer,Houston,N,AAC,FBS,Jr.,WR,13,52,768,6
2013,204,Daniel Sprotte,Georgetown,N,Patriot,FCS,Sr.,TE,11,46,441,4
2015,51,Daniel Williams,Jackson St.,N,SWAC,FCS,Jr.,WR,11,54,800,7
2014,25,Daniel Williams,Jackson St.,N,SWAC,FCS,So.,WR,12,72,990,9
2014,142,Danny Anthrop,Purdue,Y,Big Ten,FBS,Jr.,WR,9,38,616,4
2013,384,Danny Anthrop,Purdue,Y,Big Ten,FBS,So.,WR,10,17,313,2
2016,123,Danny Cotter,Butler,N,Pioneer,FCS,Sr.,WR,11,37,541,4
2015,126,Danny Cotter,Butler,N,Pioneer,FCS,Jr.,WR,11,37,510,2
2021,74,Danny Gray,SMU,N,AAC,FBS,Sr.,WR,10,49,803,9
2020,141,Danny Gray,SMU,N,AAC,FBS,Jr.,WR,8,33,448,4
2013,262,Danny Woodson,South Alabama,N,Sun Belt,FBS,So.,WR,8,26,439,4
2022,97,Dante Cephas,Kent St.,N,MAC,FBS,Jr.,WR,9,48,744,3
2021,16,Dante Cephas,Kent St.,N,MAC,FBS,So.,WR,14,82,1240,9
2022,62,Dante Hendrix,Indiana St.,N,MVFC,FCS,Sr.,WR,10,50,719,4
2019,106,Dante Hendrix,Indiana St.,N,MVFC,FCS,Jr.,WR,12,51,653,2
2018,74,Dante Hendrix,Indiana St.,N,MVFC,FCS,So.,WR,11,47,681,4
2017,84,Dante Pettis,Washington,Y,Pac-12,FBS,Sr.,WR,13,63,761,7
2016,75,Dante Pettis,Washington,Y,Pac-12,FBS,Jr.,WR,14,53,822,15
2016,85,Dante Shells,Liberty,N,Big South,FCS,Sr.,WR,11,43,655,8
2014,135,Dante Shells,Liberty,N,Big South,FCS,So.,WR,12,25,560,3
2013,212,Dante Shells,Liberty,N,Big South,FCS,So.,WR,12,29,432,1
2021,197,Dante Wright,Colorado St.,N,Mountain West,FBS,Jr.,WR,9,43,538,3
2019,83,Dante Wright,Colorado St.,N,Mountain West,FBS,Fr.,WR,12,57,805,4
2019,163,Danzel McKinley-Lewis,Toledo,N,MAC,FBS,Jr.,WR,12,36,615,1
2018,120,Daquan Patten,Western Caro.,N,SoCon,FCS,So.,WR,11,39,567,5
2021,107,Darien Chase,Portland St.,N,Big Sky,FCS,Fr.,WR,10,54,579,4
2016,137,Darien Townsend,Youngstown St.,N,MVFC,FCS,Jr.,WR,14,32,525,4
2022,2,Darion Chafin,UIW,N,Southland,FCS,Sr.,WR,14,70,1244,18
2021,46,Darion Chafin,UIW,N,Southland,FCS,Sr.,WR,13,59,771,11
2020,67,Darion Chafin,UIW,N,Southland,FCS,Jr.,WR,6,26,372,4
2013,389,Darion Griswold,Arkansas St.,N,Sun Belt,FBS,So.,TE,12,24,312,3
2016,72,Darious Crawley,McNeese,N,Southland,FCS,Jr.,WR,11,41,701,7
2017,136,Darius Floyd,Prairie View,N,SWAC,FCS,Jr.,WR,11,45,510,5
2013,359,Darius Jennings,Virginia,Y,ACC,FBS,Jr.,WR,12,38,340,3
2013,85,Darius Joseph,SMU,N,AAC,FBS,So.,WR,12,103,808,5
2023,99,Darius Lewis,Southeastern La.,N,Southland,FCS,Jr.,WR,11,48,568,4
2013,260,Darius McGriff,Stetson,N,Pioneer,FCS,Fr.,WR,11,28,382,1
2023,113,Darius Savedge,Rhode Island,N,CAA,FCS,Sr.,WR,11,47,529,4
2018,133,Darius Slayton,Auburn,Y,SEC,FBS,Jr.,WR,12,35,670,5
2017,133,Darius Slayton,Auburn,Y,SEC,FBS,So.,WR,13,29,643,5
2017,65,Darnell Adams,Portland St.,N,Big Sky,FCS,Sr.,WR,10,44,705,5
2015,143,Darnell Adams,Portland St.,N,Big Sky,FCS,Jr.,WR,12,22,478,6
2019,114,Darnell Mooney,Tulane,N,AAC,FBS,Sr.,WR,13,48,713,5
2018,39,Darnell Mooney,Tulane,N,AAC,FBS,Jr.,WR,13,48,993,8
2017,159,Darnell Mooney,Tulane,N,AAC,FBS,So.,WR,12,34,599,4
2013,90,Darnell Smith,North Texas,N,CUSA,FBS,Sr.,WR,13,70,791,4
2017,127,Darrell Clark,Grambling,N,SWAC,FCS,Jr.,WR,13,44,528,5
2017,49,Darrell James,Southern Ill.,N,MVFC,FCS,Jr.,WR,11,47,773,8
2019,117,Darrell Stewart,Michigan St.,Y,Big Ten,FBS,Sr.,WR,9,49,697,4
2016,107,Darren Ambush,Monmouth,N,Big South,FCS,Sr.,WR,11,49,588,2
2015,86,Darren Ambush,Monmouth,N,Big South,FCS,Jr.,WR,11,49,614,4
2017,79,Darren Andrews,UCLA,Y,Pac-12,FBS,Sr.,WR,9,60,773,10
2016,118,Darren Andrews,UCLA,Y,Pac-12,FBS,Jr.,WR,12,55,709,4
2017,32,Darren Carrington,Utah,Y,Pac-12,FBS,Sr.,WR,12,70,980,6
2016,169,Darren Carrington,Oregon,Y,Pac-12,FBS,Jr.,WR,12,43,606,5
2015,165,Darren Carrington,Oregon,Y,Pac-12,FBS,So.,WR,7,32,609,6
2014,105,Darren Carrington,Oregon,Y,Pac-12,FBS,Fr.,WR,14,37,704,4
2013,327,Darren Waller,Georgia Tech,Y,ACC,FBS,Jr.,WR,12,17,367,3
2016,125,Darreus Rogers,Southern California,Y,Pac-12,FBS,Sr.,WR,13,56,696,4
2015,27,Darrin Peterson,Liberty,N,Big South,FCS,Sr.,WR,10,68,906,7
2014,4,Darrin Peterson,Liberty,N,Big South,FCS,Jr.,WR,14,85,1379,12
2013,58,Darrin Peterson,Liberty,N,Big South,FCS,So.,WR,12,57,809,7
2018,16,Darrius Shepherd,North Dakota St.,N,MVFC,FCS,Sr.,WR,15,62,1065,9
2017,111,Darrius Shepherd,North Dakota St.,N,MVFC,FCS,Jr.,WR,14,41,559,1
2016,87,Darrius Shepherd,North Dakota St.,N,MVFC,FCS,So.,WR,13,45,642,5
2015,106,Darrius Shepherd,North Dakota St.,N,MVFC,FCS,Fr.,WR,15,40,575,5
2013,237,Darryl Clack,Austin Peay,N,OVC,FCS,Jr.,WR,12,28,398,2
2018,135,Darryl Denby,Weber St.,N,Big Sky,FCS,Sr.,WR,11,38,541,7
2016,119,Darryl Denby,Weber St.,N,Big Sky,FCS,Jr.,WR,12,48,554,5
2023,53,Darryl Powell Jr.,Duquesne,N,NEC,FCS,Sr.,WR,12,34,713,9
2013,297,Darryl Surgent,Louisiana,N,Sun Belt,FBS,Sr.,WR,13,31,400,5
2017,132,Darvin Kidsy,Texas Southern,N,SWAC,FCS,Fr.,,11,38,519,3
2013,352,Daryle Hawkins,Oregon,Y,Pac-12,FBS,Sr.,WR,12,23,347,3
2018,124,Dashawn Davis,Presbyterian,N,Big South,FCS,Sr.,WR,10,52,557,7
2017,147,Dashawn Davis,Presbyterian,N,Big South,FCS,Jr.,WR,11,41,490,3
2017,165,Datrin Guyton,Bowling Green,N,MAC,FBS,Jr.,WR,12,31,585,2
2017,25,Daurice Fountain,UNI,N,MVFC,FCS,Sr.,WR,13,66,943,12
2015,90,Daurice Fountain,UNI,N,MVFC,FCS,So.,WR,14,41,604,5
2013,2,Davante Adams,Fresno St.,N,Mountain West,FBS,So.,WR,13,131,1718,24
2013,105,Davaris Daniels,Notre Dame,N,FBS Independent,FBS,Jr.,WR,13,49,745,7
2020,72,Dave Russell III,Jacksonville St.,N,OVC,FCS,So.,WR,13,26,352,3
2019,104,David Ames,Weber St.,N,Big Sky,FCS,Jr.,WR,15,55,659,3
2021,15,David Bell,Purdue,Y,Big Ten,FBS,Jr.,WR,11,93,1286,6
2020,59,David Bell,Purdue,Y,Big Ten,FBS,So.,WR,6,53,625,8
2019,34,David Bell,Purdue,Y,Big Ten,FBS,Fr.,WR,12,86,1035,7
2019,113,David Durden,Mercer,N,SoCon,FCS,So.,WR,9,45,647,4
2017,124,David Eldridge,James Madison,N,CAA,FCS,Jr.,WR,15,42,533,4
2014,44,David Frazier,Miami (OH),N,MAC,FBS,Sr.,WR,12,59,949,5
2015,65,David Glidden,Oklahoma St.,Y,Big 12,FBS,Sr.,WR,13,57,866,3
2014,149,David Glidden,Oklahoma St.,Y,Big 12,FBS,Jr.,WR,13,42,598,2
2014,147,David Johnson,UNI,N,MVFC,FCS,Sr.,RB,14,38,536,2
2013,245,David Johnson,UNI,N,MVFC,FCS,Jr.,RB,11,38,393,4
2023,197,David Martin-Robinson,Temple,N,AAC,FBS,Sr.,TE,12,40,537,4
2015,195,David Morgan II,UTSA,N,CUSA,FBS,Sr.,TE,12,45,566,5
2016,124,David Njoku,Miami (FL),Y,ACC,FBS,So.,TE,13,43,698,8
2022,142,David Pantelis,Yale,N,Ivy League,FCS,So.,WR,10,39,518,2
2013,265,David Porter,TCU,Y,Big 12,FBS,Jr.,WR,12,26,435,5
2023,117,David Robinson,Nicholls,N,Southland,FCS,Sr.,WR,11,32,521,4
2017,32,David Sills,West Virginia,Y,Big 12,FBS,Jr.,WR,13,60,980,18
2018,41,David Sills V,West Virginia,Y,Big 12,FBS,Sr.,WR,12,65,986,15
2013,126,David Thomas,Duquesne,N,NEC,FCS,So.,WR,11,49,592,1
2018,64,David Ungerer,Idaho,N,Big Sky,FCS,Sr.,WR,11,69,697,4
2023,118,David White,Western Caro.,N,SoCon,FCS,Sr.,WR,10,34,519,6
2021,89,David Zorrilla,Bryant,N,NEC,FCS,Sr.,WR,10,47,623,2
2020,99,Davie Henderson,Duquesne,N,NEC,FCS,So.,WR,5,22,282,0
2017,7,Davion Davis,Sam Houston,N,Southland,FCS,Jr.,WR,14,78,1206,17
2016,28,Davion Davis,Sam Houston,N,Southland,FCS,So.,WR,13,56,960,10
2019,121,Davis Koetter,Portland St.,N,Big Sky,FCS,So.,WR,12,38,626,8
2017,48,Davon Grayson,East Carolina,N,AAC,FBS,Sr.,WR,11,59,886,6
2022,92,Davon Wells,LIU,N,NEC,FCS,Jr.,WR,11,38,636,4
2018,127,Davontavean Martin,Washington St.,Y,Pac-12,FBS,So.,WR,13,69,685,8
2015,111,Davonte Allen,Marshall,N,CUSA,FBS,Sr.,WR,13,58,715,5
2013,274,Dawan Scott,Miami (OH),N,MAC,FBS,Jr.,WR,11,28,425,2
2023,50,Dawson Snyder,Saint Francis (PA),N,NEC,FCS,Jr.,WR,10,43,718,5
2022,53,Dawson Snyder,Saint Francis (PA),N,NEC,FCS,So.,WR,12,38,758,4
2020,4,Dax Milne,BYU,N,FBS Independent,FBS,Jr.,WR,12,70,1188,8
2020,18,Daylen Baldwin,Jackson St.,N,SWAC,FCS,Jr.,WR,6,27,540,7
2020,117,Dayron Johnson,Tennessee St.,N,OVC,FCS,So.,WR,7,18,263,0
2023,65,Dayton Wade,Ole Miss,Y,SEC,FBS,Sr.,WR,13,55,830,4
2020,47,Dazz Newsome,North Carolina,Y,ACC,FBS,Sr.,WR,12,54,684,6
2019,38,Dazz Newsome,North Carolina,Y,ACC,FBS,Jr.,WR,12,72,1018,10
2022,100,De'Corian Clark,UTSA,N,CUSA,FBS,Sr.,WR,9,51,741,8
2021,87,De'Corian Clark,UTSA,N,CUSA,FBS,Jr.,WR,14,52,755,7
2019,40,De'Mo Burroughs,South Carolina St.,N,MEAC,FCS,Jr.,,11,46,938,13
2017,143,De'Mornay Pierson-El,Nebraska,Y,Big Ten,FBS,Sr.,WR,12,45,623,5
2017,137,De'Mun Mercer,North Dakota,N,Big Sky,FCS,Sr.,WR,10,36,508,1
2016,120,De'Mun Mercer,North Dakota,N,Big Sky,FCS,Jr.,WR,11,28,553,4
2015,51,De'Runnya Wilson,Mississippi St.,Y,SEC,FBS,Jr.,WR,13,60,918,10
2014,117,De'Runnya Wilson,Mississippi St.,Y,SEC,FBS,So.,WR,12,47,680,9
2013,346,De'Runnya Wilson,Mississippi St.,Y,SEC,FBS,Fr.,WR,13,26,351,3
2022,163,De'Zhaun Stribling,Washington St.,Y,Pac-12,FBS,So.,WR,12,51,602,5
2023,135,DeAirious Smith,Eastern Ill.,N,OVC,FCS,Jr.,DB,11,28,494,2
2014,5,Deandre Carter,Sacramento St.,N,Big Sky,FCS,Sr.,WR,12,99,1321,17
2013,38,Deandre Carter,Sacramento St.,N,Big Sky,FCS,Jr.,WR,11,64,934,14
2013,27,Deandre Cooper,Prairie View,N,SWAC,FCS,Sr.,WR,12,80,1028,12
2015,113,Deandre Reaves,Marshall,N,CUSA,FBS,Sr.,WR,13,56,705,4
2015,85,Deandre Sangster,Norfolk St.,N,MEAC,FCS,Sr.,WR,11,46,615,2
2013,376,Deandre Sangster,Norfolk St.,N,MEAC,FCS,So.,WR,10,18,289,2
2014,100,DeAndre Smelter,Georgia Tech,Y,ACC,FBS,Sr.,WR,12,35,715,7
2013,356,DeAndre Smelter,Georgia Tech,Y,ACC,FBS,Jr.,WR,13,21,345,4
2014,141,Deandre' Smith,James Madison,N,CAA,FCS,Sr.,WR,13,39,547,8
2013,201,Deandrew White,Alabama,Y,SEC,FBS,Jr.,WR,13,32,534,4
2014,196,Deane Cheatham,James Madison,N,CAA,FCS,Jr.,TE,10,42,453,2
2019,90,Deangelo Antoine,Fla. Atlantic,N,CUSA,FBS,Jr.,WR,13,61,771,5
2020,9,DeAngelo Wilson,Austin Peay,N,OVC,FCS,Sr.,WR,8,44,619,3
2019,1,DeAngelo Wilson,Austin Peay,N,OVC,FCS,Jr.,WR,15,89,1564,15
2016,47,DeAngelo Yancey,Purdue,Y,Big Ten,FBS,Sr.,WR,12,49,951,10
2015,116,DeAngelo Yancey,Purdue,Y,Big Ten,FBS,Jr.,WR,12,48,700,5
2013,195,DeAngelo Yancey,Purdue,Y,Big Ten,FBS,Fr.,WR,11,32,546,2
2014,163,Deante' Gray,TCU,Y,Big 12,FBS,Jr.,DB,11,36,582,8
2016,6,Dede Westbrook,Oklahoma,Y,Big 12,FBS,Sr.,WR,13,80,1524,17
2015,99,Dede Westbrook,Oklahoma,Y,Big 12,FBS,Jr.,WR,13,46,743,4
2013,137,Dedric Shipman,Texas Southern,N,SWAC,FCS,Sr.,WR,11,40,556,2
2018,144,Dee Bowens,Sam Houston,N,Southland,FCS,Fr.,WR,10,31,528,3
2018,55,Deebo Samuel,South Carolina,Y,SEC,FBS,Sr.,WR,12,62,882,11
2016,90,Deebo Samuel,South Carolina,Y,SEC,FBS,So.,WR,10,59,783,1
2023,138,Deion Burks,Purdue,Y,Big Ten,FBS,So.,WR,12,47,629,7
2022,135,Deion McShane,UNI,N,MVFC,FCS,Sr.,WR,11,34,530,2
2020,86,Deion McShane,UNI,N,MVFC,FCS,Jr.,WR,7,20,304,0
2017,31,Dejon Brissett,Richmond,N,CAA,FCS,Jr.,WR,11,63,896,7
2019,73,Dejuan Miller,Ark.-Pine Bluff,N,SWAC,FCS,So.,WR,11,43,779,7
2018,49,Dejuan Miller,Ark.-Pine Bluff,N,SWAC,FCS,Fr.,WR,11,55,781,6
2015,112,Dejzon Walker,Northern Ariz.,N,Big Sky,FCS,Sr.,WR,11,37,551,6
2013,279,Dejzon Walker,Northern Ariz.,N,Big Sky,FCS,Jr.,TE,10,24,361,2
2015,18,Demarcus Ayers,Houston,N,AAC,FBS,Jr.,WR,14,98,1222,6
2014,67,Demarcus Robinson,Florida,Y,SEC,FBS,So.,WR,12,54,821,7
2014,112,Demario Bell,Alabama St.,N,SWAC,FCS,Jr.,WR,10,28,625,4
2013,122,Demario Bell,Alabama St.,N,SWAC,FCS,So.,WR,12,30,594,3
2013,95,Demario Bennett,Coastal Carolina,N,Big South,FCS,Sr.,WR,15,40,668,5
2022,32,Demario Douglas,Liberty,N,FBS Independent,FBS,So.,WR,13,79,993,6
2021,108,Demario Douglas,Liberty,N,FBS Independent,FBS,Fr.,WR,12,52,701,6
2013,315,Demario Ross,Alabama A&M,N,SWAC,FCS,Sr.,WR,11,17,333,3
2016,101,Demarquo Lastrappe,Prairie View,N,SWAC,FCS,So.,,11,34,595,4
2023,45,DeMeer Blankumsee,Memphis,N,AAC,FBS,Jr.,WR,13,53,901,7
2019,177,Demetric Felton,UCLA,Y,Pac-12,FBS,Jr.,WR,12,55,594,4
2016,96,Demetris Robertson,California,Y,Pac-12,FBS,Fr.,WR,12,50,767,7
2013,228,Demetrius Dixon,Lafayette,N,Patriot,FCS,Jr.,WR,12,35,405,3
2014,155,Demitri Allison,Elon,N,CAA,FCS,So.,WR,12,55,525,2
2013,144,Demitri Knowles,Virginia Tech,Y,ACC,FBS,So.,WR,13,45,641,3
2014,173,Demon Bolt,Nicholls,N,Southland,FCS,Sr.,WR,10,31,499,2
2013,324,Demory Lawshe,Indiana St.,N,MVFC,FCS,Sr.,WR,12,16,324,3
2021,14,Dennis Houston,Western Ill.,N,MVFC,FCS,Sr.,WR,11,90,1015,6
2020,30,Dennis Houston,Western Ill.,N,MVFC,FCS,Sr.,WR,6,43,477,2
2013,209,Dennis Parks,Rice,N,CUSA,FBS,So.,WR,13,29,508,3
2013,309,Dennis Rowe,South Carolina St.,N,MEAC,FCS,Jr.,WR,13,18,337,4
2019,37,Denzel Mims,Baylor,Y,Big 12,FBS,Sr.,WR,14,66,1020,12
2018,85,Denzel Mims,Baylor,Y,Big 12,FBS,Jr.,WR,12,55,794,8
2017,20,Denzel Mims,Baylor,Y,Big 12,FBS,So.,WR,12,61,1087,8
2013,234,Denzell Jones,Central Conn. St.,N,NEC,FCS,Sr.,WR,12,29,401,4
2017,87,Deon Cain,Clemson,Y,ACC,FBS,Jr.,WR,14,58,734,6
2016,109,Deon Cain,Clemson,Y,ACC,FBS,So.,WR,15,38,724,9
2015,184,Deon Cain,Clemson,Y,ACC,FBS,Fr.,WR,13,34,582,5
2014,171,Deon Long,Maryland,Y,Big Ten,FBS,Sr.,WR,13,51,575,2
2013,219,Deon Long,Maryland,Y,ACC,FBS,Jr.,WR,7,32,489,1
2014,33,Deon Randall,Yale,N,Ivy League,FCS,Sr.,WR,10,73,929,6
2013,63,Deon Randall,Yale,N,Ivy League,FCS,Sr.,WR,10,85,788,8
2016,126,Deon Watson,Idaho,N,Sun Belt,FBS,Sr.,TE,13,41,695,3
2017,112,Deon Yelder,Western Ky.,N,CUSA,FBS,Sr.,TE,12,52,688,7
2017,140,Deondre Douglas,Troy,N,Sun Belt,FBS,Jr.,WR,13,48,628,4
2016,102,Deondre Douglas,Troy,N,Sun Belt,FBS,So.,WR,13,60,740,6
2017,16,Deontay Burnett,Southern California,Y,Pac-12,FBS,Jr.,WR,14,86,1114,9
2016,160,Deontay Burnett,Southern California,Y,Pac-12,FBS,So.,WR,13,56,622,7
2014,62,Deontay Greenberry,Houston,N,AAC,FBS,Jr.,WR,13,72,841,6
2013,17,Deontay Greenberry,Houston,N,AAC,FBS,So.,WR,12,82,1202,11
2020,102,Deonte Simpson,North Texas,N,CUSA,FBS,So.,WR,8,25,517,4
2014,169,Deonte Swinton,Gardner-Webb,N,Big South,FCS,Sr.,WR,12,37,500,3
2013,390,Deonte Swinton,Gardner-Webb,N,Big South,FCS,Jr.,WR,12,26,274,0
2020,94,DeQuan Dallas,Murray St.,N,OVC,FCS,Sr.,WR,7,13,289,4
2022,6,Dequece Carter,Fordham,N,Patriot,FCS,Sr.,WR,12,56,1166,13
2021,26,Dequece Carter,Fordham,N,Patriot,FCS,Jr.,WR,11,48,872,11
2020,105,Dequece Carter,Fordham,N,Patriot,FCS,So.,WR,3,19,274,2
2019,92,Dequece Carter,Fordham,N,Patriot,FCS,Fr.,WR,12,53,723,5
2013,241,Der'Rikk Thompson,SMU,N,AAC,FBS,Jr.,WR,9,32,459,2
2020,96,Derek Kline,San Diego,N,Pioneer,FCS,So.,TE,6,22,287,3
2016,55,Derek Knott,Lehigh,N,Patriot,FCS,Sr.,WR,12,60,767,3
2022,117,Derek Morton,Texas Southern,N,SWAC,FCS,Jr.,WR,10,36,571,1
2014,71,Derek O'Connor,Butler,N,Pioneer,FCS,Jr.,WR,11,64,744,5
2021,80,Derek Wright,Utah St.,N,Mountain West,FBS,Sr.,WR,14,48,789,11
2013,83,Derel Walker,Texas A&M,Y,SEC,FBS,Sr.,WR,13,51,818,5
2021,96,Derrick Deese Jr.,San Jose St.,N,Mountain West,FBS,Sr.,TE,12,47,730,4
2013,295,Derrick Engel,Minnesota,Y,Big Ten,FBS,Sr.,WR,10,25,401,5
2015,66,Derrick Griffin,Texas Southern,N,SWAC,FCS,Fr.,WR,10,36,709,11
2013,118,Derrick Johnson,Maine,N,CAA,FCS,Sr.,WR,13,60,608,2
2013,263,Derrick Joseph,Towson,N,CAA,FCS,Jr.,WR,16,36,379,1
2013,312,Derrick Ziglar,VMI,N,Big South,FCS,So.,RB,11,25,336,1
2023,68,Derwin Burgess Jr.,Ga. Southern,N,Sun Belt,FBS,Jr.,WR,13,74,813,6
2022,106,Derwin Burgess Jr.,Ga. Southern,N,Sun Belt,FBS,So.,WR,10,58,717,7
2019,63,Deshaunte Jones,Iowa St.,Y,Big 12,FBS,Sr.,WR,13,76,877,2
2013,201,Deshon Foxx,UConn,N,AAC,FBS,Jr.,WR,12,43,534,2
2023,176,Deshon Stoudemire,Troy,N,Sun Belt,FBS,Sr.,WR,14,43,569,1
2013,231,Desmond Lawrence,N.C. A&T,N,MEAC,FCS,Jr.,WR,11,37,403,3
2016,37,Desmond Smith,Central Ark.,N,Southland,FCS,Sr.,WR,13,70,893,8
2015,46,Desmond Smith,Central Ark.,N,Southland,FCS,Jr.,WR,11,67,817,2
2014,114,Desmond Smith,Central Ark.,N,Southland,FCS,So.,WR,12,46,616,7
2013,170,Desmond Smith,Central Ark.,N,Southland,FCS,Fr.,WR,12,43,502,3
2020,151,Deuce Vaughn,Kansas St.,Y,Big 12,FBS,Fr.,RB,10,25,434,2
2018,57,Dev Holmes,UAlbany,N,CAA,FCS,Fr.,WR,11,50,734,5
2013,14,Devante Davis,UNLV,N,Mountain West,FBS,Jr.,WR,13,87,1290,14
2013,69,DeVante Parker,Louisville,N,AAC,FBS,Jr.,WR,12,55,885,12
